data,dengue,zika,chikungunya
2015-01-01,174,0,0
2015-02-01,115,0,0
2015-03-01,279,0,0
2015-04-01,425,0,0
2015-05-01,779,0,0
2015-06-01,498,0,0
2015-07-01,387,0,0
2015-08-01,462,0,0
2015-09-01,235,0,0
2015-10-01,202,0,0
2015-11-01,373,0,2
2015-12-01,491,6,3
2016-01-01,687,38,6
2016-02-01,706,51,7
2016-03-01,1562,66,3
2016-04-01,1172,29,3
2016-05-01,317,13,7
2016-06-01,69,3,5
2016-07-01,49,1,2
2016-08-01,57,2,1
2016-09-01,51,0,1
2016-10-01,94,1,2
2016-11-01,124,5,3
2016-12-01,172,7,2
2017-01-01,145,2,7
2017-02-01,83,4,6
2017-03-01,125,4,7
2017-04-01,112,1,12
2017-05-01,65,1,4
2017-06-01,33,2,6
2017-07-01,45,1,5
2017-08-01,24,1,1
2017-09-01,21,1,0
2017-10-01,31,0,5
2017-11-01,28,0,1
2017-12-01,99,1,8
2018-01-01,86,4,5
2018-02-01,101,6,5
2018-03-01,65,14,17
2018-04-01,116,8,12
2018-05-01,98,8,14
2018-06-01,91,3,3
2018-07-01,108,2,6
2018-08-01,65,3,11
2018-09-01,74,3,9
2018-10-01,79,2,9
2018-11-01,89,2,4
2018-12-01,408,9,4
2019-01-01,1027,9,6
2019-02-01,1437,9,3
2019-03-01,2585,17,5
2019-04-01,2600,14,4
2019-05-01,3185,15,5
2019-06-01,3058,31,14
2019-07-01,1071,11,21
2019-08-01,432,9,8
2019-09-01,299,2,7
2019-10-01,267,1,4
2019-11-01,266,2,4
2019-12-01,383,4,12
2020-01-01,750,0,2
2020-02-01,982,0,1
2020-03-01,962,0,0
2020-04-01,638,0,0
2020-05-01,541,0,0
2020-06-01,187,0,0
2020-07-01,88,0,0
2020-08-01,107,0,0
2020-09-01,85,0,0
2020-10-01,35,0,0
2020-11-01,54,0,0
2020-12-01,33,0,0
2021-01-01,0,0,0
2021-02-01,0,0,0
2021-03-01,0,0,0
2021-04-01,0,0,0
2021-05-01,0,0,0
2021-06-01,0,0,0
2021-07-01,0,0,0
2021-08-01,0,0,0
2021-09-01,0,0,0
2021-10-01,0,0,0
2021-11-01,1,0,1
2021-12-01,7,0,2
2022-01-01,86,0,16
2022-02-01,62,0,8
2022-03-01,98,0,16
2022-04-01,113,0,16
2022-05-01,163,0,20
2022-06-01,87,0,13
2022-07-01,93,0,18
2022-08-01,98,0,12
2022-09-01,81,0,7
2022-10-01,138,0,20
2022-11-01,129,0,13
2022-12-01,232,11,19
2023-01-01,1601,12,53
2023-02-01,3957,15,53
2023-03-01,5659,23,78
2023-04-01,5581,47,92
2023-05-01,3097,22,95
2023-06-01,2101,21,63
2023-07-01,1271,15,59
2023-08-01,559,8,30
2023-09-01,553,3,29
2023-10-01,624,0,16
2023-11-01,467,1,16
2023-12-01,466,2,23
